"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","2022","State","Both sexes","Number","5149139"
"Population at Each Census","2022","Carlow","Both sexes","Number","61968"
"Population at Each Census","2022","Dublin","Both sexes","Number","1458154"
"Population at Each Census","2022","Kildare","Both sexes","Number","247774"
"Population at Each Census","2022","Kilkenny","Both sexes","Number","104160"
"Population at Each Census","2022","Laois","Both sexes","Number","91877"
"Population at Each Census","2022","Longford","Both sexes","Number","46751"
"Population at Each Census","2022","Louth","Both sexes","Number","139703"
"Population at Each Census","2022","Meath","Both sexes","Number","220826"
"Population at Each Census","2022","Offaly","Both sexes","Number","83150"
"Population at Each Census","2022","Westmeath","Both sexes","Number","96221"
"Population at Each Census","2022","Wexford","Both sexes","Number","163919"
"Population at Each Census","2022","Wicklow","Both sexes","Number","155851"
"Population at Each Census","2022","Clare","Both sexes","Number","127938"
"Population at Each Census","2022","Cork","Both sexes","Number","584156"
"Population at Each Census","2022","Kerry","Both sexes","Number","156458"
"Population at Each Census","2022","Limerick","Both sexes","Number","209536"
"Population at Each Census","2022","Tipperary","Both sexes","Number","167895"
"Population at Each Census","2022","Waterford","Both sexes","Number","127363"
"Population at Each Census","2022","Galway","Both sexes","Number","277737"
"Population at Each Census","2022","Leitrim","Both sexes","Number","35199"
"Population at Each Census","2022","Mayo","Both sexes","Number","137970"
"Population at Each Census","2022","Roscommon","Both sexes","Number","70259"
"Population at Each Census","2022","Sligo","Both sexes","Number","70198"
"Population at Each Census","2022","Cavan","Both sexes","Number","81704"
"Population at Each Census","2022","Donegal","Both sexes","Number","167084"
"Population at Each Census","2022","Monaghan","Both sexes","Number","65288"
